ID,Title,Author,Venue,SearchString,,,,,,,,,,,
113,SWE-ABS: Adversarial Benchmark Strengthening Exposes Inflated Success Rates on Test-based Benchmark,"Yu, Boxi; Cao, Yang; Zhang, Yuzhong; Lin, Liting; Xu, Junjielong; Zhong, Zhiqing; Xu, Qinghua; Wang, Guancheng; Cao, Jialun; Cheung, Shing-Chi; He, Pinjia; Briand, Lionel",,String A,,,,,,,,,,,
114,Foundation Models as Oracles for Refactoring Correctness Detection,"Gheyi, Rohit; Melo, Rian; Oliveira, Jonhnanthan; Ribeiro, Marcio; Fonseca, Baldoino",,String A,,,,,,,,,,,
115,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Zhang, Junwei; Hu, Xing; Xia, Xin; Cheung, Shing-Chi; Li, Shanping",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
116,Survey on Learning-based Dynamic Fault Localization: From Traditional Machine Learning to Large Language Models,"Liu, Chunyan; Lei, Yan; Xie, Huan; Wang, Jinping; Yu, Yue; Lo, David",ACM Computing Surveys,String A,,,,,,,,,,,
117,AI-Driven Methods for RTL Debugging: Localization and Auto-Corrections of RTL Bugs “Towards Smart Debugging”,"Mohammed, Khaled",The Art of RTL Debugging,String A,,,,,,,,,,,
118,Artisan: Agentic Artifact Evaluation,"Baek, Doehyun; Pradel, Michael",,String A,,,,,,,,,,,
119,Iter-T: ITERative Test suite generation for automated program repair,"Godio, Ariel; Brida, Simón Gutiérrez; Regis, Germán; Bagheri, Hamid; Nguyen, ThanhVu; Aguirre, Nazareno; Frias, Marcelo F.",IEEE Transactions on Software Engineering,String A,,,,,,,,,,,
120,TestDecision: Sequential Test Suite Generation via Greedy Optimization and Reinforcement Learning,"Wang, Guoqing; Yang, Chengran; Zhou, Xiaoxuan; Sun, Zeyu; Wang, Bo; Lo, David; Hao, Dan",,String A,,,,,,,,,,,
121,Test automation with Selenium: A survey,"García Gutiérrez, Boni; Ricca, Filippo; Leotta, Maurizio; Muñoz Organero, Mario",,String A,,,,,,,,,,,
122,Automated Inline-Test Generation without Relying on Method-Level Unit Tests,"Jiang, Pengyue; Liu, Yu; Guo, Anna; Gligoric, Milos; Legunsen, Owolabi",,String A,,,,,,,,,,,
123,A survey on test case generation based on prompt engineering and large language models,"Cui, Hanjing; Zhao, Man; Li, Dongcheng",International Conference on AI-Generated Content (AIGC 2025),String A,,,,,,,,,,,
124,Real-World Fault Detection for C-Extended Python Projects with Automated Unit Test Generation,"Berg, Lucas; Krodinger, Lukas; Lukasczyk, Stephan; Panichella, Annibale; Fraser, Gordon; Vanhoof, Wim; Devroey, Xavier",,String A,,,,,,,,,,,
125,Can Adjusting Hyperparameters Lead to Green Deep Learning: An Empirical Study on Correlations between Hyperparameters and Energy Consumption of Deep Learning Models,"Wang, Taoran; Li, Yanhui; Ma, Mingliang; Chen, Lin; Zhou, Yuming",,String A,,,,,,,,,,,
126,From Laboratory to Real-World Applications: Benchmarking Agentic Code Reasoning at the Repository Level,"Li, Jia; Su, Yuxin; Lyu, Michael R.",,String A,,,,,,,,,,,
127,Fuzzing REST APIs in Industry: Necessary Features and Open Problems,"Arcuri, Andrea; Poth, Alexander; Rrjolli, Olsi; Garrett, Philip; Galeotti, Juan P.",,String A,,,,,,,,,,,
128,Performance of test cases for machine learning classifier: coverage perspective,"Ashraf, Sadia; Imtiaz, Salma; Khan, Asmat Ullah; Kulhanek, Rastislav",Journal of Intelligent Systems,String A,,,,,,,,,,,
129,Fault Localization from the Semantic Code Search Perspective,"Qin, Yihao; Wang, Shangwen; Lei, Yan; Zhang, Zhuo; Lin, Bo; Peng, Xin; Ma, Jun; Chen, Liqian; Mao, Xiaoguang",ACM Transactions on Software Engineering and Methodology,String A,,,,,,,,,,,
