timestamp,model,batch_size,input_tokens,output_tokens,total_tokens,status,error
2026-07-20 22:40:06,gpt-4o-mini-2024-07-18,8,2324,414,2738,OK,
2026-07-20 22:40:16,gpt-4o-mini-2024-07-18,8,2098,404,2502,OK,
2026-07-20 22:40:26,gpt-4o-mini-2024-07-18,8,1871,414,2285,OK,
2026-07-20 22:40:35,gpt-4o-mini-2024-07-18,8,1902,416,2318,OK,
2026-07-20 22:40:44,gpt-4o-mini-2024-07-18,8,1893,410,2303,OK,
2026-07-20 22:40:53,gpt-4o-mini-2024-07-18,8,1962,419,2381,OK,
2026-07-20 22:41:01,gpt-4o-mini-2024-07-18,8,1841,405,2246,OK,
2026-07-20 22:41:09,gpt-4o-mini-2024-07-18,8,1877,421,2298,OK,
2026-07-20 22:41:17,gpt-4o-mini-2024-07-18,8,1920,409,2329,OK,
2026-07-20 22:41:24,gpt-4o-mini-2024-07-18,8,1676,412,2088,OK,
2026-07-20 22:41:32,gpt-4o-mini-2024-07-18,8,1827,412,2239,OK,
2026-07-20 22:41:41,gpt-4o-mini-2024-07-18,8,1945,420,2365,OK,
2026-07-20 22:41:50,gpt-4o-mini-2024-07-18,8,2053,416,2469,OK,
2026-07-20 22:41:58,gpt-4o-mini-2024-07-18,8,1807,437,2244,OK,
2026-07-20 22:42:05,gpt-4o-mini-2024-07-18,8,1949,415,2364,OK,
2026-07-20 22:42:11,gpt-4o-mini-2024-07-18,8,1893,407,2300,OK,
2026-07-20 22:42:17,gpt-4o-mini-2024-07-18,8,1928,409,2337,OK,
2026-07-20 22:42:24,gpt-4o-mini-2024-07-18,8,1820,406,2226,OK,
2026-07-20 22:42:30,gpt-4o-mini-2024-07-18,8,1912,424,2336,OK,
2026-07-20 22:42:37,gpt-4o-mini-2024-07-18,8,1858,413,2271,OK,
2026-07-20 22:42:43,gpt-4o-mini-2024-07-18,8,1993,408,2401,OK,
2026-07-20 22:42:50,gpt-4o-mini-2024-07-18,8,1788,419,2207,OK,
2026-07-20 22:42:57,gpt-4o-mini-2024-07-18,8,1944,402,2346,OK,
2026-07-20 22:43:03,gpt-4o-mini-2024-07-18,8,1921,416,2337,OK,
2026-07-20 22:43:09,gpt-4o-mini-2024-07-18,8,2033,424,2457,OK,
2026-07-20 22:43:16,gpt-4o-mini-2024-07-18,8,2447,403,2850,OK,
